Tabel 1
Substance;Sector;EDGAR Country Code;Country;Macro-region;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
CO2;Deforestation;CIV;Côte d’Ivoire;Africa;151,74300079126;151,74300079126;151,74300079126;151,74300079126;151,74300079126;151,74300079126;151,74300079126;151,74300079126;151,74300079126;151,74300079126;151,74300079126;261,4806162586;95,292656788272;98,455729326915;38,248680774134;93,141165028806;113,06328443541;111,23920077556;156,78048548671;98,735959637438;94,575193916984;117,07616603292;134,62516434084;226,34431188142;217,02790768499;164,60045325373;236,76792750054;95,692062864502;96,848648714204;61,293217065727;58,534809692042;36,168253958966;51,998760238912;51,998760238912;51,998760238912
CO2;Fires;CIV;Côte d’Ivoire;Africa;0,15819643428385;0,074680081833309;0,041219456485224;0,078137388711452;0,000470004032;0,000470004032;0,0000210479;0,00017555107;0,172825873772;0,35616212067;0,257460245811;0,0332459988467;;0,022186777;;;;0,011093388;0,011093388;;;;;0,022186777;;;;;;;;;;;
GWP_100_AR5_CH4;Fires;CIV;Côte d’Ivoire;Africa;2,6019127595271;2,3831777348348;1,980903155208;1,6644383809906;2,8106759271053;2,8106759271053;2,615680911713;1,8410119235259;2,5194312248399;2,2018102594746;1,9679014411106;2,4760335403619;1,85601416312;1,7142532068897;0,94211334824712;2,0087900581574;1,5876137409236;1,8233364994519;1,3293801679222;1,1184776125603;1,0101477743832;1,1937426526707;1,1831389180069;1,3334579159726;0,66770551056244;0,8075131190196;1,3998904102733;0,76052654081852;0,66612865990748;0,49042888649916;0,75071572879576;0,57719665724392;0,60520506756976;0,54561506428912;0,62355940654448
GWP_100_AR5_N2O;Fires;CIV;Côte d’Ivoire;Africa;1,9089451890652;1,8097801320092;1,554718595122;1,2822617852374;2,1195237485575;2,1195237485575;1,9775631188179;1,2977249779962;1,8702846892165;1,622873782451;1,5015022983125;1,9268446022162;1,5781932126363;1,4367979654408;0,77020130704476;1,6789970238508;1,3439288627148;1,3900695478076;1,098575947957;0,94034736387468;0,85891119967176;1,0161363936938;0,91928788028738;1,1315729685085;0,563903061306;0,68432650343111;1,1547711298526;0,63854315009783;0,56785079983301;0,41783657078973;0,60092317388422;0,47235097841586;0,51067164799987;0,45684674021196;0,53184254176647
CO2;Forest Land;CIV;Côte d’Ivoire;Africa;-71,395780520714;-69,291266216807;-67,225733467438;-66,024434555059;-65,077016562695;-61,562684158983;-61,498793294808;-60,770561375726;-60,714724702925;-61,490084661719;-61,154780486668;-60,521781887821;-59,649182435839;-57,531733536338;-55,152666680007;-56,923768963745;-55,874760248457;-54,985423332246;-58,215061220024;-57,369157241791;-54,365385689119;-42,494661303683;-38,503685803047;-40,059066900236;-36,061114163082;-21,078455097699;-19,193590001989;-18,384258534357;-18,685237626731;-18,586889786426;-18,926377617391;-18,734625767024;-19,067817524802;-18,860598851498;-18,653380178194
CO2;Organic Soil;CIV;Côte d’Ivoire;Africa;1,9857091921297;1,9857091921297;1,9857091921297;1,985501664555;1,9838413072047;2,1439845743419;2,170033557154;2,2086596278291;2,2380281057218;2,239650118044;2,2662452010467;2,2969943431839;2,2983408641682;2,3018235868943;2,3034618993621;2,3014472578074;2,2970261866568;2,3009396401022;2,3032798053043;2,306093050342;2,3160716067364;2,3172443572475;2,3178827475173;2,3227420441082;2,3317266095461;2,3317266095461;2,3385959591528;2,3374200467018;2,3410368931381;2,3432973991228;2,3378280397108;2,3483180638144;2,3456654555446;2,3456654555446;2,3468276726665
CO2;Deforestation;CMR;Cameroon;Africa;46,614977498816;46,614977498816;46,614977498816;46,614977498816;46,614977498816;46,614977498816;46,614977498816;46,614977498816;46,614977498816;46,614977498816;46,614977498816;76,501109939571;32,029752946391;31,314069610487;28,921460214697;20,056818974343;28,4981560278;38,291943020958;34,577623758309;22,130264094808;37,662506220525;25,511480339184;31,861089862217;57,833760697622;76,161863429225;54,964610982363;63,077750346738;74,815338660353;55,930892542892;54,977142898868;89,016449724005;68,136941388383;70,710178003752;70,710178003752;70,710178003752
CO2;Fires;CMR;Cameroon;Africa;0,10805293478165;0,024677892115477;0,031726903477555;0,0066087398566987;0,0432461241058;0,0432461241058;0,0860699280728;0,0499730975338;0,0519075490882;0,025827590876;0,0493655529688;0,1459956549489;0,01926419253;0,05587961283;0,09465818958;0,03189606105;0,04541344353;0,07078974584;0,05330265945;0,03087030585;0,026850408;0,05623447742;0,03385667616;0,00813069078;0,05295987716;0,05051708647;0,05485383348;0,0425604132;0,01544078229;0,05955416187;0,07917922432;0,02918758192;0,05138705557;0,05978956005;0,05285423624
GWP_100_AR5_CH4;Fires;CMR;Cameroon;Africa;11,548096249298;13,373639737142;14,82558924552;8,1971425341223;11,053888348859;11,053888348859;14,989838448765;10,172264068996;12,437418572669;8,1634072718989;7,5656188967446;11,152819677189;3,2889921127272;6,7146844135252;3,468235955359;6,6881861272408;3,1746368534317;2,7913413932695;3,9384549397074;2,7191388257317;3,2180517178068;2,6774815783072;2,2449863036734;2,3621830920498;1,5784923171606;1,4948059117443;2,4006122850601;2,0935116476761;1,7659878084691;2,5876314346431;3,6467228547834;2,2148991098427;2,3450946055267;1,5403273740784;1,605270160835
GWP_100_AR5_N2O;Fires;CMR;Cameroon;Africa;4,3208906400759;4,9035897489919;5,2712807361187;3,1994369730843;4,1967735568617;4,1967735568617;5,347088408167;3,2430006851366;4,6223579004634;3,1938913630605;3,1123677609936;4,2942098018719;1,8909024043956;3,2131650848283;1,7707409668819;3,1341999698348;1,7439838614815;1,5444897686692;1,9892652225625;1,5063655199194;1,6879050163405;1,3447012984328;1,1496424012796;1,1451617589939;0,86967601086047;0,75193018038491;1,153971877096;0,99179230552202;0,86616850419482;1,0709494658286;1,5178596069317;1,0249809469635;1,1139466071641;0,74502843312174;0,8016649009008
CO2;Forest Land;CMR;Cameroon;Africa;-148,32586993057;-148,07647474208;-148,36618634214;-147,85454511718;-145,79197365091;-144,24772169682;-143,40650895683;-145,30822944465;-150,14255507269;-150,3199997299;-150,10901184512;-152,98191427526;-152,47338326894;-149,73720105601;-143,06829088231;-140,64720645915;-137,52316647507;-134,45193909412;-147,34127281055;-147,75701422376;-145,47922223128;-146,31238638081;-154,66097430209;-152,79054933489;-150,21571588753;-148,22759661384;-149,47812622167;-148,81344291426;-147,4423638415;-146,28709406303;-149,79647953625;-148,73239097245;-148,33062926202;-148,70161157643;-149,07259389084
CO2;Organic Soil;CMR;Cameroon;Africa;1,285535083892;1,285535083892;1,285535083892;1,285535083892;1,285535083892;1,2889865597588;1,2889865597588;1,2889865597588;1,3050141541479;1,3220759757726;1,3660367152724;1,3732407586123;1,3757806069694;1,3754524124383;1,3872984380543;1,3872983591476;1,3926368254359;1,3980233176059;1,4082379015146;1,444918630821;1,4685938711376;1,4863406562635;1,503682275903;1,5155132864777;1,5102145030875;1,5102145030875;1,5738572322402;1,5701157457978;1,5557074526796;1,5295671664735;1,5394917581936;1,5487278657248;1,5503009767664;1,5503009767664;1,5492196846434
CO2;Deforestation;COD;Democratic Republic of the Congo;Africa;465,50298954588;465,50298954588;465,50298954588;465,50298954588;465,50298954588;465,50298954588;465,50298954588;465,50298954588;465,50298954588;465,50298954588;465,50298954588;673,04150601456;493,70096352726;229,76649909583;365,96508158838;421,9869548682;356,95338722834;223,25559367163;251,37048965598;320,20423237743;451,31625118191;412,65869407281;490,11575376617;760,25020154764;600,77612688523;544,94823004179;579,65291815392;443,28525238041;406,50976840607;377,07319033669;389,89146572169;366,54330310449;377,83598638762;377,83598638762;377,83598638762
CO2;Fires;COD;Democratic Republic of the Congo;Africa;1,8028140841489;0,81892612311341;2,7900530363981;4,78923155421;1,2374637603945;1,2374637603945;1,5438915190029;0,37215783686071;1,0651770325517;2,1861022161581;4,6839838796561;0,77061931933504;1,12136371761;0,62443148685;1,23448912087;0,88068192056;0,97808653145;0,17494120541;0,53864250821;0,839659383;0,93262983101;0,39926551829;0,56259816404;0,98442985532;0,22644153487;0,52455828388;0,63404440456;0,25492746009;0,4820479281;0,47374746773;0,27389863912;0,38833916514;0,75654952571;0,73504847223;1,41546494912
