Tabel 1
Substance;Sector;Macro-region;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
CO2;Deforestation;Latin America and Caribbean;2978,1710473467;2978,1710473467;2978,1710473467;2978,1710473467;2978,1710473467;2978,1710473467;2978,1710473467;2978,1710473467;2978,1710473467;2978,1710473467;2978,1710473467;2821,5652532778;2905,6299024229;3207,3179863396;3371,53060084;3078,7543216387;2244,0373857438;2415,010300375;2251,5937908547;1604,0016479228;2243,931032632;1750,7805167475;1932,1931869046;1892,3825171178;2084,6535392656;2132,786636104;2350,3302132432;1896,5393681185;1684,1443117708;1832,3328218529;2048,6203636164;1714,4575640405;1865,1369165033;1865,1369165033;1865,1369165033
CO2;Fires;Latin America and Caribbean;116,05960108453;99,460829619785;97,048565306937;95,664339419389;149,71259615448;149,71259615448;114,47519363882;77,935078159156;101,09912848862;131,5065309166;80,80908782193;100,56820131319;44,30570513986;87,36134744603;34,31392073454;43,80003475082;54,05338709211;35,98309283081;46,38581299013;52,14888165918;57,4980681242;28,31493409198;30,76037017801;43,48414653512;30,92430851216;45,67317754444;79,0443026046;61,42126620173;31,7400262877;55,07034530071;59,81128805373;22,39233264358;54,46880048615;62,38469834235;70,36117269161
GWP_100_AR5_CH4;Fires;Latin America and Caribbean;62,370026494118;89,925315906739;92,420482285462;180,35835078782;81,149884362846;81,149884362846;83,4246909183;49,090583843782;83,192314031806;97,830195129989;153,72241605571;68,400593288477;57,98393826608;80,027746711878;79,113445696668;82,331136398894;59,896474368816;99,492339211948;46,636321625559;35,375158340368;116,03030229546;35,687873576688;46,474345842284;36,442890500181;31,229306979257;52,048695626476;62,004915244679;52,280929244353;28,843010048948;77,827538731529;85,871951869091;49,965193736719;65,424402617021;60,61223250108;171,75044177341
GWP_100_AR5_N2O;Fires;Latin America and Caribbean;20,600102019652;29,009346915183;28,804502481553;51,934462059382;27,234623851566;27,234623851566;28,735952173468;15,098510946007;25,43712019148;29,701800617086;44,542299869602;23,485208586568;23,792327201976;25,254785086462;28,063348679645;29,502139305668;18,520548606043;36,678223656222;17,622012059366;11,164845722722;38,113070891423;15,65287866042;18,972494847786;11,84615356883;12,625887000903;18,28909331519;17,743200591481;22,115092211327;11,824829779365;25,335011951735;29,908756253548;19,416798928604;20,862502681288;20,083616114096;50,032972084585
CO2;Forest Land;Latin America and Caribbean;-2584,2111276;-2549,0011865847;-2593,7298972212;-2571,2806870429;-2526,15117233;-2453,1926182311;-2440,7549745628;-2409,656159965;-2364,7784391456;-2301,7886518477;-2265,6618206715;-2288,6280889602;-2243,0012804375;-2153,5830669979;-2118,6812274663;-2119,3460743406;-2132,4929334449;-2105,7299450047;-2308,7143903175;-2298,4447157065;-2268,3373818136;-2205,2507146003;-2174,4489527902;-2170,2079544452;-2177,3567554654;-2172,7131664559;-2189,7053029492;-2139,3453936476;-2089,8606204541;-2145,2517619842;-2117,6296823962;-2104,9427718106;-2093,3566928197;-2081,4298870074;-2069,503081195
CO2;Organic Soil;Latin America and Caribbean;11,079262188695;11,079262188695;11,079262188695;11,816732348104;11,808732242087;12,220086981587;12,461740807962;12,526546029927;12,584781990093;12,922538802141;12,975762756869;13,022456653174;13,051881410335;13,023925452413;13,824702221007;13,797580026679;13,791450636734;13,785991962766;13,817577791331;13,817462706336;13,839041460485;13,860041115222;13,84965142392;13,890331071878;14,025010305384;14,015253082828;14,126725042416;14,269259286843;14,399969567915;14,406366345284;14,442875293787;14,539381702828;14,686841231755;14,686841231755;14,734617675995
CO2;Other Land;Latin America and Caribbean;4,4464611493585;12,971558829808;9,2182228793267;2,2243565771972;0,79324502754357;21,338577386839;20,128832900238;-0,31642028970335;25,475507357579;6,8823746035548;6,5335395047974;15,56082369018;3,6629709185098;92,431129749148;82,004820789866;28,953563772847;15,73414041614;3,9181252565935;6,0561642494387;-5,9500077415279;-1,9807386614819;25,037176142816;30,196191434492;59,302945638926;54,420199252367;47,986147223974;28,401382557469;13,718337790264;30,687596437993;28,459526896216;44,289188447845;37,004362349148;55,204612370522;55,204612370522;55,204612370522
CO2;Deforestation;Middle East;0,0026134822240509;0,0026134822240509;0,0026134822240509;0,0026134822240509;0,0026134822240509;0,0026134822240509;0,0026134822240509;0,0026134822240509;0,0026134822240509;0,0026134822240509;0,0026134822240509;0,0021613506391059;0,0021365869011914;0,0035425091318555;0,0021304715821008;0,0041852788886203;0,016743906978028;0,065016821641191;0,021136271867309;0,0037547261729855;0,0029332648507825;0,00093800322112057;0,17259500924388;0,035533706788524;0,032138896151865;0,04209566115656;0,037973478847457;0,023165230227102;0,014448491568838;0,01280313817975;0,023382780676024;0,027666962570004;0,021284293808593;0,021284293808593;0,021284293808593
CO2;Fires;Middle East;3,0179984194643;6,3013168472988;1,9795542721675;2,6060010446269;5,5048071357935;5,5048071357935;8,0512175316883;1,9102997031787;7,6374474413114;5,1516917199859;4,1303095711699;4,6678129689685;1,04284671429;0,83794616664;1,05380533565;1,08876484816;0,85463169337;1,38531568416;0,39010149726;0,44914481949;3,02046041258;1,21698177635;0,50010150541;0,7933222334;1,25149013807;1,18545620857;1,62153723727;1,12708400169;0,75238405378;21,43996664633;4,37431227982;1,29286259046;0,37860059156;3,3813958244;7,76490207712
GWP_100_AR5_CH4;Fires;Middle East;0,17613087528001;0,33454571748496;0,11182293845779;0,12357613453842;0,35340464115417;0,35340464115417;0,50237399468835;0,1075318870701;0,48475793324122;0,28779954279203;0,25823967975837;0,27354488873151;0,07421451732044;0,04863953098284;0,06161453258492;0,06298029719744;0,0481903888914;0,07538540618644;0,042350407379;0,0357888617702;0,1767002595414;0,05987262262604;0,04802420656824;0,04386102481768;0,07032513038516;0,0804528516904;0,09735907360704;0,06204673732124;0,05269270272728;0,9421202516628;0,307675749395;0,07724000652564;0,03514039561816;0,17374126353276;0,38723742979096
